Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,100n,
C10,0603,1,10u,
C11,0603,1,10u,
C12,0603,1,10u,
C13,0603,1,1u,
C14,0603,1,1u,
C15,0603,1,100n,
C16,0603,1,27p,
C17,0603,1,27p,
C18,0603,1,1u,
C19,0603,1,47n,
C2,0603,1,100n,
C20,0603,1,1u,
C21,0603,1,0.1u,
C22,CP_Radial_D4.0mm_P1.50mm,1,47u,
C23,0603,1,0.1u,
"C24, C25, C26",CP_Elec_6.3x7.7,3,22u,
C27,CP_Radial_D22.0mm_P10.00mm_SnapIn,1,3300u,
C3,0603,1,100n,
C30,0603,1,100n,
C31,0603,1,4.3p,
C32,0603,1,4.7u,
C33,0603,1,220n,
C34,0603,1,47u,
C35,0603,1,0.1u,
C4,0603,1,100n,
C5,0603,1,100n,
C6,0603,1,100n,
C7,0603,1,100n,
C8,0603,1,100n,
C9,0603,1,100n,
D1,0402,1,LED,
D2,0402,1,LED,
IC1,SOIC127P600X170-9N,1,LMR36510FADDAR,
J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,CAN,
J2,USB_Micro-B_Molex-105017-0001,1,USB_B_Micro,
J3,PinSocket_1x07_P2.54mm_Vertical,1,GPIO,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Debugger Pins,
J6,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
L1,L_Taiyo-Yuden_NR-30xx,1,22u,
"Q1, Q2, Q3, Q4, Q5, Q6",TO-220-3_Vertical,6,IRF3205,
R1,0603,1,220,
R10,2512,1,.01,
R11,2512,1,.01,
R12,2512,1,.01,
R13,0603,1,100k,
R14,0603,1,100k,
R15,0603,1,43.2k,
R2,0603,1,100,
R3,0603,1,27,
R4,0603,1,27,
R5,0603,1,DNF,
R6,0603,1,1k,
R7,0603,1,1k,
R8,0603,1,10k,
R9,0603,1,10k,
TP1,TestPoint_Pad_D2.5mm,1,FaultTest,
U1,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U3,RP2040-QFN-56,1,RP2040,
U4,QFN50P600X600X80-41N-D,1,DRV8323HRTAR,
U5,nRF24L01_Breakout,1,NRF24L01_Breakout,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD233,
"VR1, VR2, VR3, VR4",VG039NCHXTB204,4,VG039NCHXTB204,
Y1,Crystal_SMD_HC49-US,1,ABLS-12.000MHZ-B4-T,
